vreg1	V(vo)
1.059999999999986e+001	3.331387e+000
1.061999999999986e+001	3.331440e+000
1.063999999999986e+001	3.331493e+000
1.065999999999986e+001	3.331546e+000
1.067999999999986e+001	3.331599e+000
1.069999999999986e+001	3.331652e+000
1.071999999999986e+001	3.331706e+000
1.073999999999986e+001	3.331759e+000
1.075999999999986e+001	3.331812e+000
1.077999999999986e+001	3.331865e+000
1.079999999999986e+001	3.331918e+000
1.081999999999986e+001	3.331971e+000
1.083999999999985e+001	3.332024e+000
1.085999999999985e+001	3.332077e+000
1.087999999999985e+001	3.332130e+000
1.089999999999985e+001	3.332183e+000
1.091999999999985e+001	3.332236e+000
1.093999999999985e+001	3.332289e+000
1.095999999999985e+001	3.332342e+000
1.097999999999985e+001	3.332395e+000
1.099999999999985e+001	3.332448e+000
1.101999999999985e+001	3.332501e+000
1.103999999999985e+001	3.332554e+000
1.105999999999985e+001	3.332607e+000
1.107999999999985e+001	3.332660e+000
1.109999999999985e+001	3.332713e+000
1.111999999999985e+001	3.332766e+000
1.113999999999985e+001	3.332819e+000
1.115999999999985e+001	3.332871e+000
1.117999999999985e+001	3.332924e+000
1.119999999999985e+001	3.332977e+000
1.121999999999985e+001	3.333030e+000
1.123999999999985e+001	3.333083e+000
1.125999999999985e+001	3.333136e+000
1.127999999999985e+001	3.333189e+000
1.129999999999984e+001	3.333241e+000
1.131999999999984e+001	3.333294e+000
1.133999999999984e+001	3.333347e+000
1.135999999999984e+001	3.333400e+000
1.137999999999984e+001	3.333452e+000
1.139999999999984e+001	3.333505e+000
1.141999999999984e+001	3.333558e+000
1.143999999999984e+001	3.333611e+000
1.145999999999984e+001	3.333663e+000
1.147999999999984e+001	3.333716e+000
1.149999999999984e+001	3.333769e+000
1.151999999999984e+001	3.333821e+000
1.153999999999984e+001	3.333874e+000
1.155999999999984e+001	3.333927e+000
1.157999999999984e+001	3.333979e+000
1.159999999999984e+001	3.334032e+000
1.161999999999984e+001	3.334085e+000
1.163999999999984e+001	3.334137e+000
1.165999999999984e+001	3.334190e+000
1.167999999999984e+001	3.334242e+000
1.169999999999984e+001	3.334295e+000
1.171999999999984e+001	3.334347e+000
1.173999999999984e+001	3.334400e+000
1.175999999999984e+001	3.334453e+000
1.177999999999983e+001	3.334505e+000
1.179999999999983e+001	3.334558e+000
1.181999999999983e+001	3.334610e+000
1.183999999999983e+001	3.334663e+000
1.185999999999983e+001	3.334715e+000
1.187999999999983e+001	3.334768e+000
1.189999999999983e+001	3.334820e+000
1.191999999999983e+001	3.334873e+000
1.193999999999983e+001	3.334925e+000
1.195999999999983e+001	3.334978e+000
1.197999999999983e+001	3.335030e+000
1.199999999999983e+001	3.335083e+000
1.201999999999983e+001	3.335135e+000
