vreg1	V(vo)	I(Rl)
1.123999999999985e+001	3.305537e+000	3.305537e-001
1.125999999999985e+001	3.305589e+000	3.305590e-001
1.127999999999985e+001	3.305642e+000	3.305642e-001
1.129999999999984e+001	3.305695e+000	3.305695e-001
1.131999999999984e+001	3.305748e+000	3.305748e-001
1.133999999999984e+001	3.305801e+000	3.305801e-001
1.135999999999984e+001	3.305853e+000	3.305853e-001
1.137999999999984e+001	3.305906e+000	3.305906e-001
1.139999999999984e+001	3.305959e+000	3.305959e-001
1.141999999999984e+001	3.306011e+000	3.306012e-001
1.143999999999984e+001	3.306064e+000	3.306064e-001
1.145999999999984e+001	3.306117e+000	3.306117e-001
1.147999999999984e+001	3.306170e+000	3.306170e-001
1.149999999999984e+001	3.306222e+000	3.306222e-001
1.151999999999984e+001	3.306275e+000	3.306275e-001
1.153999999999984e+001	3.306328e+000	3.306327e-001
1.155999999999984e+001	3.306380e+000	3.306380e-001
1.157999999999984e+001	3.306433e+000	3.306433e-001
1.159999999999984e+001	3.306485e+000	3.306485e-001
1.161999999999984e+001	3.306538e+000	3.306538e-001
1.163999999999984e+001	3.306591e+000	3.306591e-001
1.165999999999984e+001	3.306643e+000	3.306643e-001
1.167999999999984e+001	3.306696e+000	3.306696e-001
1.169999999999984e+001	3.306748e+000	3.306748e-001
1.171999999999984e+001	3.306801e+000	3.306801e-001
1.173999999999984e+001	3.306854e+000	3.306853e-001
1.175999999999984e+001	3.306906e+000	3.306906e-001
1.177999999999983e+001	3.306959e+000	3.306959e-001
1.179999999999983e+001	3.307011e+000	3.307011e-001
1.181999999999983e+001	3.307064e+000	3.307064e-001
1.183999999999983e+001	3.307116e+000	3.307116e-001
1.185999999999983e+001	3.307168e+000	3.307168e-001
1.187999999999983e+001	3.307221e+000	3.307221e-001
1.189999999999983e+001	3.307274e+000	3.307274e-001
1.191999999999983e+001	3.307326e+000	3.307326e-001
1.193999999999983e+001	3.307379e+000	3.307379e-001
1.195999999999983e+001	3.307431e+000	3.307431e-001
1.197999999999983e+001	3.307483e+000	3.307483e-001
1.199999999999983e+001	3.307536e+000	3.307536e-001
1.201999999999983e+001	3.307588e+000	3.307588e-001
1.203999999999983e+001	3.307641e+000	3.307641e-001
1.205999999999983e+001	3.307693e+000	3.307693e-001
1.207999999999983e+001	3.307745e+000	3.307745e-001
1.209999999999983e+001	3.307798e+000	3.307798e-001
1.211999999999983e+001	3.307850e+000	3.307850e-001
1.213999999999983e+001	3.307903e+000	3.307903e-001
1.215999999999983e+001	3.307955e+000	3.307955e-001
1.217999999999983e+001	3.308007e+000	3.308007e-001
1.219999999999983e+001	3.308059e+000	3.308060e-001
1.221999999999983e+001	3.308112e+000	3.308112e-001
1.223999999999982e+001	3.308164e+000	3.308164e-001
1.225999999999982e+001	3.308216e+000	3.308216e-001
1.227999999999982e+001	3.308269e+000	3.308269e-001
1.229999999999982e+001	3.308321e+000	3.308321e-001
1.231999999999982e+001	3.308373e+000	3.308373e-001
1.233999999999982e+001	3.308426e+000	3.308426e-001
1.235999999999982e+001	3.308478e+000	3.308478e-001
1.237999999999982e+001	3.308530e+000	3.308530e-001
1.239999999999982e+001	3.308582e+000	3.308582e-001
1.241999999999982e+001	3.308635e+000	3.308634e-001
1.243999999999982e+001	3.308687e+000	3.308687e-001
1.245999999999982e+001	3.308739e+000	3.308739e-001
1.247999999999982e+001	3.308791e+000	3.308791e-001
1.249999999999982e+001	3.308843e+000	3.308843e-001
1.251999999999982e+001	3.308896e+000	3.308896e-001
1.253999999999982e+001	3.308948e+000	3.308948e-001
1.255999999999982e+001	3.309000e+000	3.309000e-001
1.257999999999982e+001	3.309052e+000	3.309052e-001
1.259999999999982e+001	3.309104e+000	3.309104e-001
1.261999999999982e+001	3.309156e+000	3.309156e-001
1.263999999999982e+001	3.309209e+000	3.309208e-001
1.265999999999982e+001	3.309261e+000	3.309261e-001
1.267999999999982e+001	3.309313e+000	3.309313e-001
1.269999999999982e+001	3.309365e+000	3.309365e-001
1.271999999999981e+001	3.309417e+000	3.309417e-001
1.273999999999981e+001	3.309469e+000	3.309469e-001
1.275999999999981e+001	3.309521e+000	3.309521e-001
1.277999999999981e+001	3.309573e+000	3.309573e-001
1.279999999999981e+001	3.309625e+000	3.309625e-001
1.281999999999981e+001	3.309677e+000	3.309678e-001
1.283999999999981e+001	3.309730e+000	3.309729e-001
1.285999999999981e+001	3.309782e+000	3.309782e-001
1.287999999999981e+001	3.309834e+000	3.309834e-001
1.289999999999981e+001	3.309886e+000	3.309886e-001
1.291999999999981e+001	3.309938e+000	3.309938e-001
1.293999999999981e+001	3.309990e+000	3.309990e-001
1.295999999999981e+001	3.310042e+000	3.310042e-001
1.297999999999981e+001	3.310094e+000	3.310094e-001
1.299999999999981e+001	3.310146e+000	3.310146e-001
1.301999999999981e+001	3.310198e+000	3.310198e-001
1.303999999999981e+001	3.310250e+000	3.310250e-001
1.305999999999981e+001	3.310302e+000	3.310302e-001
1.307999999999981e+001	3.310354e+000	3.310353e-001
1.309999999999981e+001	3.310405e+000	3.310406e-001
1.311999999999981e+001	3.310457e+000	3.310457e-001
1.313999999999981e+001	3.310509e+000	3.310509e-001
1.315999999999981e+001	3.310561e+000	3.310561e-001
1.317999999999980e+001	3.310613e+000	3.310613e-001
1.319999999999980e+001	3.310665e+000	3.310665e-001
1.321999999999980e+001	3.310717e+000	3.310717e-001
1.323999999999980e+001	3.310769e+000	3.310769e-001
1.325999999999980e+001	3.310821e+000	3.310821e-001
1.327999999999980e+001	3.310873e+000	3.310873e-001
1.329999999999980e+001	3.310925e+000	3.310925e-001
1.331999999999980e+001	3.310977e+000	3.310977e-001
1.333999999999980e+001	3.311028e+000	3.311028e-001
1.335999999999980e+001	3.311080e+000	3.311080e-001
1.337999999999980e+001	3.311132e+000	3.311132e-001
1.339999999999980e+001	3.311184e+000	3.311184e-001
1.341999999999980e+001	3.311236e+000	3.311236e-001
1.343999999999980e+001	3.311288e+000	3.311287e-001
1.345999999999980e+001	3.311339e+000	3.311339e-001
1.347999999999980e+001	3.311391e+000	3.311391e-001
1.349999999999980e+001	3.311443e+000	3.311443e-001
1.351999999999980e+001	3.311495e+000	3.311495e-001
1.353999999999980e+001	3.311547e+000	3.311546e-001
1.355999999999980e+001	3.311598e+000	3.311598e-001
1.357999999999980e+001	3.311650e+000	3.311650e-001
1.359999999999980e+001	3.311702e+000	3.311702e-001
1.361999999999980e+001	3.311754e+000	3.311754e-001
1.363999999999980e+001	3.311805e+000	3.311805e-001
1.365999999999979e+001	3.311857e+000	3.311857e-001
1.367999999999979e+001	3.311909e+000	3.311909e-001
1.369999999999979e+001	3.311961e+000	3.311961e-001
1.371999999999979e+001	3.312012e+000	3.312012e-001
1.373999999999979e+001	3.312064e+000	3.312064e-001
1.375999999999979e+001	3.312116e+000	3.312116e-001
1.377999999999979e+001	3.312167e+000	3.312168e-001
1.379999999999979e+001	3.312219e+000	3.312219e-001
1.381999999999979e+001	3.312271e+000	3.312271e-001
1.383999999999979e+001	3.312323e+000	3.312322e-001
1.385999999999979e+001	3.312374e+000	3.312374e-001
1.387999999999979e+001	3.312426e+000	3.312426e-001
1.389999999999979e+001	3.312478e+000	3.312477e-001
1.391999999999979e+001	3.312529e+000	3.312529e-001
1.393999999999979e+001	3.312581e+000	3.312581e-001
1.395999999999979e+001	3.312633e+000	3.312632e-001
1.397999999999979e+001	3.312684e+000	3.312684e-001
1.399999999999979e+001	3.312736e+000	3.312736e-001
1.401999999999979e+001	3.312787e+000	3.312787e-001
1.403999999999979e+001	3.312839e+000	3.312839e-001
1.405999999999979e+001	3.312891e+000	3.312891e-001
1.407999999999979e+001	3.312942e+000	3.312942e-001
1.409999999999979e+001	3.312994e+000	3.312994e-001
1.411999999999978e+001	3.313046e+000	3.313046e-001
1.413999999999978e+001	3.313097e+000	3.313097e-001
1.415999999999978e+001	3.313148e+000	3.313149e-001
1.417999999999978e+001	3.313200e+000	3.313200e-001
1.419999999999978e+001	3.313252e+000	3.313252e-001
1.421999999999978e+001	3.313303e+000	3.313303e-001
1.423999999999978e+001	3.313355e+000	3.313355e-001
1.425999999999978e+001	3.313406e+000	3.313406e-001
1.427999999999978e+001	3.313458e+000	3.313458e-001
